Scenario,Shape,Sink,Xm,Ym,Nodes,AERT_FND,LEACH_FND,EDD_FND,AERT_vs_LEACH_FND_pct,AERT_vs_EDD_FND_pct,AERT_HND,LEACH_HND,EDD_HND,AERT_vs_LEACH_HND_pct,AERT_vs_EDD_HND_pct,AERT_AND,LEACH_AND,EDD_AND,AERT_vs_LEACH_AND_pct,AERT_vs_EDD_AND_pct,AERT_Packets_BS,LEACH_Packets_BS,EDD_Packets_BS,AERT_vs_LEACH_Packets_pct,AERT_vs_EDD_Packets_pct,AERT_Residual_Energy,LEACH_Residual_Energy,EDD_Residual_Energy
100x100_100n_triangle_outside-top,triangle,outside-top,100,100,100,544.6,343.8,346,58.4060500290867,57.3988439306358,2092.2,1022.2,1038.2,104.676188612796,101.521864765941,4301.8,1350.6,1349.2,218.510291722198,218.840794544916,10414.6,5102.4,5076.4,104.111790529947,105.157198014341,0.15088342637703,0,0.000245747369481346
100x100_100n_mixed_center,mixed,center,100,100,100,1133.4,364.8,356.8,210.690789473684,217.656950672646,2384,1107.2,1100.4,115.317919075145,116.648491457652,4339.6,1456,1430,198.049450549451,203.468531468531,10096,5469.8,5449.2,84.5771326191086,85.2749027380166,0.153875379865529,0,0.000213439928872499
100x100_100n_mixed_edge-top,mixed,edge-top,100,100,100,1095.2,349.4,358,213.45163136806,205.921787709497,2317.4,1072.4,1065,116.09474076837,117.596244131455,4423.2,1458.6,1456,203.249691484986,203.791208791209,10076.8,5331,5346.2,89.0226974301257,88.4852792637761,0.153398005943404,0,0.00024791524578865
100x100_100n_mixed_edge-bottom,mixed,edge-bottom,100,100,100,1098.6,355.8,353.6,208.768971332209,210.690045248869,2421.8,1069,1092.8,126.548175865295,121.61420204978,4372.8,1449.6,1439.8,201.655629139073,203.708848451174,10095.6,5371.8,5349.8,87.9370043560818,88.7098583124603,0.15354583607082,0,0.000327841529579007
100x100_100n_mixed_edge-left,mixed,edge-left,100,100,100,1103.6,354.8,346.2,211.048478015784,218.775274407857,2437,1072.8,1068.4,127.162565249814,128.09809060277,4244.4,1454.2,1435.8,191.871819557145,195.612202256582,10073.4,5336.4,5242.4,88.7677085675736,92.152449259881,0.153403215163108,0,0.000262568479546358
100x100_100n_mixed_edge-right,mixed,edge-right,100,100,100,1100.2,358.2,344.8,207.1468453378,219.083526682135,2294.2,1096,1088.2,109.324817518248,110.82521595295,4371,1445.8,1435.4,202.323972886983,204.514421067298,10124.2,5378,5328.8,88.2521383413909,89.9902417054496,0.152985297684244,0,0.000298401584376047
100x100_100n_mixed_corner,mixed,corner,100,100,100,1093.2,338.6,347,222.858830478441,215.043227665706,2358.4,1023.2,1072.6,130.492572322127,119.876934551557,4386.6,1406.4,1414.6,211.902730375427,210.094726424431,10042.6,5244.8,5264.4,91.4772727272727,90.7643796064129,0.153619791697187,0,0.000344039014554059
100x100_100n_mixed_outside-top,mixed,outside-top,100,100,100,1022.6,337.8,323.6,202.723505032564,216.007416563659,2192,964.4,977.8,127.291580257155,124.17672325629,4461.4,1311,1301.6,240.305110602593,242.762753534112,10063,5021.2,4983.2,100.410260495499,101.938513405041,0.152106256918224,0,0.000251391351569344
100x100_200n_square_center,square,center,100,100,200,959,202.4,202.4,373.814229249012,373.814229249012,2128.6,1065.2,1072.2,99.8310176492677,98.5263943294161,4477,1494,1499.2,199.665327978581,198.625933831377,21190.6,10354.8,10488.8,104.645188704755,102.030737548623,0.302786334171488,0,0.000535934340768207
100x100_200n_square_edge-top,square,edge-top,100,100,200,930.6,203.4,203.8,357.522123893805,356.624141315015,2166.4,1065.6,1046.6,103.303303303303,106.9940760558,4451.4,1495.2,1481.4,197.712680577849,200.48602673147,20751.2,10414.8,10151,99.2472251027384,104.425179785243,0.30298663759979,0,0.000447079825297865
